sk_id,com_cat_1,com_cat_2,com_cat_3,base_type,act,arpu_group,com_cat_7,com_cat_8,device_type_id,internet_type_id,revenue,itc,vas,rent_channel,roam,cost,com_cat_17,com_cat_18,com_cat_19,com_cat_20,com_cat_21,com_cat_22,com_cat_23,com_cat_25,com_cat_26,com_cat_27,com_cat_28,com_cat_29,com_cat_30,com_cat_31,com_cat_32,com_cat_33,com_cat_34
17,12,360,60,24,12,108.0,36,5700.0,60.0,24.0,1.6011,0.08168399999999999,1.205068,0.660576,0.0,0.071671,0.0,0.0,0.3145440000000001,8.472308,0.23157600000000003,8.472308,1.563351,12,12,0.22485099999999997,0.08168399999999999,0.0,0.0,0.2907,0.330948,1.271326,108.0
18,84,756,60,24,12,115.0,36,11892.0,60.0,36.0,1.611129,0.18343500000000001,1.010184,0.6615659999999999,0.0,0.06931900000000002,0.0,0.0,0.3145440000000001,8.477664,0.23157600000000003,8.477664,1.5075489999999998,12,12,0.502181,0.18343500000000001,0.0,0.0,0.553591,0.330948,1.2467759999999999,120.0
19,60,120,60,24,12,128.0,12,13673.0,38.0,34.0,1.666795,0.49306799999999995,1.024979,0.660978,0.0,0.101774,0.0,0.0,0.3145440000000001,8.472161,0.23157600000000003,8.472161,1.6234410000000001,12,12,0.260319,0.49246199999999996,3.3e-05,0.0,2.062512,0.330948,1.246752,12.0
20,96,36,60,24,12,90.0,81,4740.0,36.0,36.0,1.494046,0.115051,1.040683,0.662224,0.0,0.064412,0.0,0.0,0.3145440000000001,8.440182,0.23157600000000003,8.440182,1.4023220000000003,12,12,0.438487,0.10551100000000001,0.0,0.0,0.654498,0.330948,1.246752,36.0
21,72,852,60,24,12,128.0,24,8892.0,60.0,12.0,1.6756329999999997,0.5375510000000001,1.106786,0.7123290000000001,0.0,0.11571999999999999,0.0,0.0,0.3145440000000001,8.464476000000001,0.23157600000000003,8.464476000000001,1.6178,12,12,0.3248309999999999,0.5375510000000001,0.716714,0.0,0.4615349999999999,0.330948,1.246752,24.0
22,24,216,29,24,12,130.0,12,10164.0,60.0,24.0,1.6930759999999998,0.9037080000000001,1.0887050000000003,0.6656910000000001,0.0,0.148136,0.0,0.0,0.3145440000000001,8.445524,0.23157600000000003,8.445524,1.5873840000000004,12,12,0.541733,0.9035890000000001,0.031457000000000006,0.0,0.7716510000000001,0.330948,1.246752,108.0
23,48,960,60,24,12,62.0,36,4836.0,60.0,12.0,1.371358,0.03768099999999999,1.037661,0.659668,0.0,0.05613599999999999,0.0,0.0,0.3145440000000001,8.403331999999999,0.23157600000000003,8.403331999999999,1.370626,12,12,0.079024,0.03768099999999999,1.6e-05,0.0,0.11567999999999999,0.330951,1.2474,120.0
24,72,504,54,24,12,78.0,16,9264.0,58.0,24.0,1.445559,0.367572,1.0134770000000002,0.670482,0.0,0.08898899999999998,0.0,0.0,0.3145440000000001,8.404049,0.23157600000000003,8.404049,1.438325,12,12,0.06366899999999999,0.367448,0.035528000000000004,0.108463,0.21584,0.330948,1.246752,24.0
25,48,708,60,24,12,89.0,21,4610.0,60.0,12.0,1.489627,0.083674,1.025109,0.682252,0.0,0.061776,0.0,0.0,0.3145440000000001,8.440663999999998,0.23157600000000003,8.440663999999998,1.4847539999999997,12,12,0.038729,0.083674,0.14172500000000002,0.0,0.427152,0.330948,1.246752,24.0
26,36,948,60,24,12,49.0,36,15780.0,60.0,12.0,1.3373179999999998,0.003503,1.022823,0.659733,0.0,0.051687000000000004,0.0,0.0,0.3145440000000001,8.394772000000001,0.23157600000000003,8.394772000000001,1.325717,12,12,0.12267999999999998,0.003503,0.0,0.0,0.183425,0.330948,1.246752,120.0
27,72,672,22,24,12,13.0,36,1666.0,60.0,24.0,1.2974839999999999,0.00044399999999999995,1.0100040000000001,0.659606,0.0,0.05052200000000001,0.0,0.0,0.3145440000000001,8.381627,0.23157600000000003,8.381627,1.3138470000000002,12,12,0.003922,0.00044399999999999995,0.0,0.0,0.018191,0.330948,1.246752,120.0
28,36,288,60,24,12,111.0,34,1344.0,60.0,24.0,1.58484,0.19228699999999999,1.1202210000000001,0.687771,0.0,0.079513,0.0,0.0,0.3145440000000001,8.460502,0.23157600000000003,8.460502,1.58129,12,12,0.061897,0.184856,0.19405699999999998,0.038489,0.409002,0.330948,1.246752,24.0
30,96,144,60,24,12,127.0,18,15557.0,58.0,14.0,1.704317,0.15196600000000002,1.205115,0.671631,0.0,0.079702,0.0,0.0,0.3145440000000001,8.502482,0.23157600000000003,8.502482,1.573532,12,12,0.6280540000000001,0.15193700000000002,0.1015,0.0,0.5764990000000001,0.330948,1.246752,87.0
31,36,684,60,24,12,47.0,32,8740.0,56.0,26.0,1.340505,0.027095,1.016394,0.659735,0.0,0.053668,0.0,0.0,0.3145440000000001,8.394362000000001,0.23157600000000003,8.394362000000001,1.3494840000000001,12,12,0.035023,0.027095,0.0,0.0,0.13691799999999998,0.330948,1.247047,120.0
33,96,744,60,24,12,66.0,36,7068.0,38.0,34.0,1.4126960000000002,0.067126,1.0121859999999998,0.6629590000000001,0.0,0.057721,0.0,0.0,0.3145440000000001,8.416677,0.23157600000000003,8.416677,1.3879130000000002,12,12,0.183311,0.067126,0.0,0.0,0.193067,0.330948,1.246752,57.0
34,96,624,33,24,12,77.0,12,1512.0,60.0,24.0,1.442418,0.007124,1.0873390000000003,0.69405,0.0,0.058996,0.078873,0.0,0.3145440000000001,8.426169999999999,0.23699800000000004,8.423300000000001,1.457326,12,12,0.006798,0.007124,0.010640000000000004,0.049949999999999994,0.09670200000000001,0.330948,1.246752,87.0
35,30,790,123,14,10,47.0,20,2364.0,62.0,22.0,1.144802,0.028904,0.84167,0.550621,0.0,0.045084,0.0,0.0,0.31556200000000006,7.004794,0.25051500000000004,7.001658,1.116734,10,9,0.186447,0.028904,5.2e-05,0.0,1.0723690000000001,0.27579,1.03896,21.0
36,3,66,17,1,1,7.0,2,444.0,3.0,3.0,0.122288,0.018105,0.084242,0.054982,0.0,0.006056,0.069847,0.0,0.026212,0.702034,0.0241,0.699492,0.122591,1,0,0.005132,0.018105,0.0,0.0,0.015123,0.027579,0.103896,0.0
37,84,756,60,24,12,80.0,48,19428.0,60.0,24.0,1.450876,0.16853500000000002,1.010907,0.660658,0.0,0.06777999999999999,0.0,0.0,0.3145440000000001,8.42235,0.23157600000000003,8.42235,1.403283,12,12,0.274623,0.158386,0.0,0.0,0.30534700000000004,0.330948,1.248772,120.0
38,72,408,60,24,12,100.0,36,11838.0,38.0,34.0,1.5523310000000001,0.10819500000000001,1.016134,0.661072,0.0,0.06201299999999999,0.0,0.0,0.3145440000000001,8.462589999999999,0.23157600000000003,8.462589999999999,1.496326,12,12,0.320478,0.10810800000000001,0.001626,0.0,0.44155800000000006,0.330948,1.246752,108.0
39,60,768,60,24,12,67.0,20,11297.0,60.0,24.0,1.406036,0.112155,1.014974,0.66596,0.0,0.06272599999999999,0.0,0.0,0.3145440000000001,8.410454,0.23157600000000003,8.410454,1.405487,12,12,0.05768600000000001,0.112082,0.022718,0.02479,1.170864,0.330948,1.246752,77.0
40,60,720,60,24,12,111.0,53,5148.0,36.0,36.0,1.610164,0.070174,1.124162,0.6614269999999999,0.0,0.065256,0.0,0.0,0.3145440000000001,8.48047,0.23157600000000003,8.48047,1.61954,12,12,0.029245,0.069428,0.0,0.0,0.869696,0.330948,1.252555,56.0
41,72,252,60,24,12,115.0,17,2924.0,64.0,19.0,1.607436,0.6112169999999999,1.0377029999999998,0.690257,0.0,0.116945,0.0,0.0,0.3145440000000001,8.439477,0.23157600000000003,8.439477,1.560193,12,12,0.274293,0.6106829999999999,0.27107000000000003,0.0,0.609629,0.330948,1.246752,72.0
42,36,636,60,24,12,58.0,48,1018.0,60.0,22.0,1.451293,0.026274,1.034126,0.659846,0.0,0.054757,0.0,0.0,0.3145440000000001,8.432586000000002,0.23157600000000003,8.432586000000002,1.4590830000000004,12,12,0.043217,0.026274,0.000266,0.0,0.12163700000000001,0.330948,1.246752,120.0
43,60,996,60,24,12,65.0,12,5724.0,60.0,14.0,1.3945470000000002,0.055903,1.010877,0.6600340000000001,0.0,0.056261000000000005,0.0,0.0,0.3145440000000001,8.41141,0.23157600000000003,8.41141,1.393797,12,12,0.06564,0.037579,1.4e-05,0.0,0.33308400000000005,0.330948,1.246752,120.0
44,60,204,60,24,12,113.0,12,15864.0,60.0,24.0,1.5825050000000003,0.17013700000000004,1.0446140000000002,0.670771,0.0,0.070951,0.0,0.0,0.3145440000000001,8.466304999999998,0.23157600000000003,8.466304999999998,1.560673,12,12,0.16959699999999997,0.165306,0.275546,0.0,0.3610340000000001,0.330948,1.246752,24.0
45,48,432,60,24,12,91.0,12,15756.0,60.0,24.0,1.499128,0.017620999999999998,1.018454,0.662211,0.0,0.053031999999999996,0.0,0.0,0.3145440000000001,8.450785,0.23157600000000003,8.450785,1.4325789999999998,12,12,0.365209,0.017620999999999998,0.028687,9.999999999999999e-06,1.370173,0.330948,1.246752,12.0
46,72,300,60,24,12,83.0,17,16212.0,60.0,12.0,1.4714010000000002,0.34952799999999995,1.010188,0.6738339999999999,0.0,0.0872,0.0,0.0,0.3145440000000001,8.414546999999999,0.23157600000000003,8.414546999999999,1.4263810000000001,12,12,0.255224,0.32864299999999996,0.08840899999999999,0.0,0.532564,0.330948,1.246752,24.0
47,33,308,130,16,11,62.0,22,9712.0,51.0,15.0,1.313548,0.157382,0.9261119999999999,0.6056010000000001,0.0,0.062391,0.263498,0.0,0.2883320000000001,7.714496,0.23039300000000001,7.7049069999999995,1.2702560000000003,11,10,0.260015,0.157382,0.00299,0.0,0.23040100000000002,0.303369,1.142856,73.0
48,24,96,60,24,12,103.0,36,16440.0,60.0,24.0,1.540862,0.11401900000000002,1.0100040000000001,0.663567,0.0,0.062401,0.0,0.0,0.3145440000000001,8.458246999999998,0.23157600000000003,8.458246999999998,1.515048,12,12,0.179594,0.110777,0.014716000000000002,0.031445,0.315365,0.33126700000000003,1.247315,108.0
49,36,636,33,24,12,97.0,12,9504.0,60.0,24.0,1.5245770000000003,0.047633,1.033598,0.6628299999999999,0.0,0.057133,0.0,0.0,0.3145440000000001,8.456584,0.23157600000000003,8.456584,1.5338809999999998,12,12,0.014288999999999998,0.047346,0.0020329999999999997,0.012061,0.30639900000000003,0.330948,1.246752,107.0
50,84,936,60,24,12,52.0,36,15780.0,60.0,12.0,1.3395929999999998,0.046613,1.0100040000000001,0.6598529999999999,0.0,0.05524400000000001,0.0,0.0,0.3145440000000001,8.39282,0.23157600000000003,8.39282,1.353982,12,12,0.013057,0.046613,1e-06,0.0,0.08125,0.330948,1.246752,120.0
51,36,240,60,24,12,35.0,34,8712.0,60.0,12.0,1.3283979999999997,0.0037359999999999997,1.0151,0.659834,0.0,0.051210000000000006,0.0,0.0,0.3145440000000001,8.391994,0.23157600000000003,8.391994,1.334044,12,12,0.05116599999999999,0.0037359999999999997,0.003393,0.0,0.078818,0.330948,1.247198,113.0
52,60,996,60,24,12,63.0,36,18816.0,60.0,12.0,1.3766600000000002,0.15741900000000003,1.024608,0.6597259999999999,0.0,0.06747399999999999,0.0,0.0,0.3145440000000001,8.396416,0.23157600000000003,8.396416,1.3612739999999999,12,12,0.035013,0.15207600000000002,1.4e-05,0.0,0.10733699999999999,0.330948,1.246752,120.0
53,12,360,60,24,12,117.0,20,16416.0,60.0,24.0,1.6069660000000001,0.18694100000000005,1.0100040000000001,0.707809,0.0,0.073315,0.0,0.0,0.3145440000000001,8.473101999999999,0.23157600000000003,8.473101999999999,1.6038899999999998,12,12,0.08608199999999998,0.18654600000000007,0.026829000000000002,0.334812,0.922318,0.332646,1.249084,24.0
54,12,360,60,24,12,99.0,23,1476.0,60.0,12.0,1.5284530000000003,0.27995200000000003,1.075425,0.660351,0.0,0.08333399999999999,0.0,0.0,0.3145440000000001,8.437660000000001,0.23157600000000003,8.437660000000001,1.5147529999999998,12,12,0.13042900000000002,0.279793,1.9999999999999998e-05,0.0,0.22435899999999998,0.330948,1.247261,120.0
55,56,434,86,8,7,80.0,14,8616.0,33.0,15.0,1.267604,0.17638199999999998,0.638548,0.8071330000000001,0.0,0.08396900000000002,0.9527329999999999,0.0,0.18348400000000004,5.027168,0.20058900000000002,4.992500000000001,1.2261129999999998,7,6,0.222435,0.175097,0.102301,0.30804000000000004,0.312312,0.19305299999999997,0.727272,8.0
56,36,636,22,24,12,19.0,36,11136.0,36.0,36.0,1.3021719999999999,0.0031200000000000004,1.019665,0.6596139999999999,0.0,0.051431000000000004,0.0,0.0,0.3145440000000001,8.382577000000001,0.23157600000000003,8.382577000000001,1.319331,12,12,0.000392,0.0031200000000000004,0.0,0.0,0.021537999999999998,0.330948,1.246752,48.0
57,84,468,30,24,12,120.0,14,7776.0,60.0,12.0,1.617307,0.510059,1.0100040000000001,0.6650900000000001,0.0,0.102844,0.0,0.0,0.3145440000000001,8.45388,0.23157600000000003,8.45388,1.467057,12,12,0.730453,0.506832,0.001597,0.0,0.865866,0.330948,1.246752,108.0
58,84,468,48,24,12,91.0,22,19420.0,61.0,13.0,1.502133,0.037974999999999995,1.0115560000000001,0.6815439999999999,0.0,0.056177,0.0,0.0,0.3145440000000001,8.449411000000001,0.23157600000000003,8.449411000000001,1.5125490000000001,12,12,0.03226,0.037974999999999995,0.065544,0.0,0.06591100000000001,0.330948,1.246752,84.0
59,60,720,60,24,12,128.0,12,1344.0,60.0,24.0,1.6939540000000002,0.081847,1.0239559999999999,0.692947,0.000813,0.063167,0.0,0.0,0.3145440000000001,8.511634,0.23157600000000003,8.511634,1.684992,12,12,0.10338299999999999,0.080571,0.21969400000000003,0.002264,0.7186419999999999,0.331002,1.246752,24.0
60,12,360,24,24,12,51.0,12,16332.0,60.0,12.0,1.383613,0.045302999999999996,1.055738,0.6610619999999999,0.0,0.05820800000000001,0.0,0.0,0.3145440000000001,8.406045,0.23157600000000003,8.406045,1.390774,12,12,0.044839,0.045302999999999996,0.005758,0.0,0.12294400000000001,0.331019,1.246752,110.0
61,96,156,60,24,11,25.0,48,17052.0,60.0,36.0,1.305729,8e-06,1.010059,0.6596550000000001,0.0,0.050487000000000004,0.0,0.0,0.3145440000000001,8.384563,0.23157600000000003,8.384563,1.322902,12,12,0.00047999999999999996,8e-06,0.0,0.0,0.037684,0.330948,1.246752,120.0
62,48,708,24,24,12,117.0,12,19284.0,60.0,24.0,1.605356,0.118981,1.021588,0.6945399999999999,0.000245,0.066353,0.0,0.0,0.3145440000000001,8.477925999999998,0.23157600000000003,8.477925999999998,1.5961949999999998,12,12,0.10702099999999999,0.11871999999999999,0.040323,0.22193300000000002,0.609225,0.336213,1.24694,24.0
63,96,912,60,24,12,56.0,36,16196.0,60.0,22.0,1.3693330000000001,0.002164,1.021451,0.6600419999999998,0.0,0.051484999999999996,0.0,0.0,0.3145440000000001,8.406218,0.23157600000000003,8.406218,1.379511,12,12,0.031773,0.002164,9.8e-05,0.0,0.054403999999999994,0.330948,1.246752,120.0
64,60,768,60,24,12,144.0,14,1332.0,60.0,24.0,2.228929,0.9313750000000001,1.3348849999999999,0.7034,0.0,0.17008199999999998,0.0,0.0,0.3145440000000001,8.617473,0.23157600000000003,8.617473,2.092457,12,12,0.680638,0.9313750000000001,0.17793599999999998,0.31385100000000005,1.364301,0.345387,1.257375,24.0
65,96,912,60,24,12,138.0,12,6156.0,60.0,12.0,1.6906499999999998,0.049941,1.0389259999999998,0.671864,0.0,0.058428,0.0,0.0,0.3145440000000001,8.514139,0.23157600000000003,8.514139,1.670344,12,12,0.13815999999999998,0.049499999999999995,0.0031530000000000004,0.0,1.659865,0.330948,1.246752,12.0
66,96,36,84,23,12,94.0,18,10164.0,60.0,24.0,1.5544499999999999,0.183739,1.1234590000000002,0.7333619999999998,0.0,0.082451,0.26029,0.590232,0.3145440000000001,8.44751,0.25186600000000003,8.437248,1.5148800000000002,12,12,0.22130300000000003,0.183739,0.324817,4.7e-05,0.370482,0.330948,1.246752,24.0
67,36,336,30,24,12,41.0,48,17278.0,46.0,26.0,1.337208,0.04795900000000001,1.024091,0.6597040000000001,0.0,0.056293,0.0,0.0,0.3145440000000001,8.391164999999999,0.23157600000000003,8.391164999999999,1.331652,12,12,0.09927399999999999,0.04795900000000001,0.0,0.0,0.070251,0.330948,1.246752,78.0
68,96,180,95,22,12,47.0,36,10215.0,60.0,20.0,1.3332899999999999,0.005533,1.016735,0.66415,0.0,0.051842000000000006,0.040873999999999994,0.7521850000000001,0.3145440000000001,8.393233,0.23776400000000003,8.390739,1.332546,12,12,0.07918400000000002,0.005533,5e-06,1e-06,0.9300640000000001,0.330948,1.246752,120.0
69,12,360,138,18,12,130.0,24,11908.0,56.0,17.0,1.701009,0.5627219999999999,1.051499,0.668431,0.0,0.111193,1.3350980000000001,0.0,0.3145440000000001,8.476929,0.323365,8.428349999999998,1.628109,12,11,0.304002,0.555896,0.040079,0.000228,0.72376,0.330948,1.246752,13.0
70,36,132,60,24,12,118.0,48,16692.0,60.0,12.0,1.604961,0.360246,1.0127490000000001,0.660895,0.0,0.08744,0.0,0.0,0.3145440000000001,8.461457,0.23157600000000003,8.461457,1.488479,12,12,0.573529,0.360246,4.7e-05,0.0,0.9276340000000001,0.330948,1.246752,66.0
71,96,228,24,24,12,143.0,48,4632.0,36.0,36.0,2.123303,0.929649,1.096386,0.6700100000000001,0.0,0.151621,0.0,0.0,0.3145440000000001,8.594523,0.23157600000000003,8.594523,2.0473489999999996,12,12,0.39063899999999996,0.929092,1.9e-05,0.0,0.8972060000000001,0.330948,1.2611050000000001,32.0
72,12,360,57,24,12,78.0,96,14534.0,60.0,12.0,1.446012,0.139737,1.0330249999999999,0.6598080000000001,0.0,0.066233,0.0,0.0,0.3145440000000001,8.421833,0.23157600000000003,8.421833,1.4634239999999998,12,12,0.00033600000000000004,7.3e-05,1e-06,0.0,0.06721400000000001,0.330948,1.246752,120.0
73,12,360,95,22,12,137.0,17,8424.0,60.0,24.0,1.8461149999999997,0.262768,1.265217,0.6854890000000001,0.000709,0.09672799999999998,0.0,0.0,0.3145440000000001,8.539297,0.23157600000000003,8.539297,1.8023919999999998,12,12,0.26922700000000005,0.256963,0.01159,0.187334,0.500145,0.331898,1.2492210000000001,64.0
75,60,492,60,24,12,101.0,48,19414.0,56.0,16.0,1.610089,0.4957450000000001,1.0146659999999998,0.66019,0.0,0.10130499999999999,0.0,0.0,0.3145440000000001,8.452525,0.23157600000000003,8.452525,1.5658200000000002,12,12,0.08639400000000001,0.464943,2e-05,0.0,0.33215500000000003,0.330948,1.246752,106.0
76,36,540,60,24,12,87.0,12,19077.0,60.0,23.0,1.4854550000000002,0.12268000000000001,1.0272590000000001,0.6618960000000002,0.0,0.06428299999999999,0.0,0.0,0.3145440000000001,8.437254,0.23157600000000003,8.437254,1.48098,12,12,0.093908,0.12268000000000001,0.008671,0.015111999999999997,2.3834579999999996,0.330948,1.246752,12.0
77,84,888,60,24,12,98.0,45,11904.0,60.0,12.0,1.5243959999999999,0.17042800000000002,1.019272,0.6622100000000001,0.0,0.068644,0.0,0.0,0.3145440000000001,8.447604,0.23157600000000003,8.447604,1.492638,12,12,0.213454,0.165802,1.5e-05,0.0,0.802157,0.330948,1.246752,84.0
78,24,384,60,24,12,133.0,12,15502.0,60.0,22.0,1.7118209999999998,0.23249000000000006,1.091854,0.7108129999999999,0.020566,0.10402099999999997,0.0,0.0,0.3145440000000001,8.486295,0.23157600000000003,8.486295,1.692987,12,12,0.145571,0.23202000000000003,0.397184,0.0,0.675452,0.37199099999999996,1.283492,30.0
79,84,588,58,24,12,89.0,26,19116.0,60.0,24.0,1.4990329999999998,0.114677,1.016847,0.700391,0.0,0.06582,0.0,0.0,0.3145440000000001,8.440846000000002,0.23157600000000003,8.440846000000002,1.5031730000000003,12,12,0.05973599999999999,0.114677,0.005443999999999999,0.053288,0.36127099999999995,0.330948,1.246752,96.0
81,96,228,48,24,12,112.0,21,12324.0,44.0,19.0,1.6907110000000003,0.17353,1.026661,0.683188,0.002785,0.073872,0.0,0.0,0.3145440000000001,8.502201,0.23157600000000003,8.502201,1.6772559999999999,12,12,0.130855,0.172944,0.0034270000000000004,0.018762,0.7070650000000002,0.331065,1.249793,94.0
82,36,684,54,24,12,31.0,36,6206.0,60.0,23.0,1.310314,0.00454,1.0100040000000001,0.6597500000000001,0.0,0.050952000000000004,0.0,0.0,0.3145440000000001,8.385819000000001,0.23157600000000003,8.385819000000001,1.322508,12,12,0.019681999999999998,0.00454,0.0,0.0,0.152986,0.330948,1.246752,102.0
83,60,492,105,21,12,43.0,48,15108.0,36.0,36.0,1.327456,0.03618700000000001,1.0100040000000001,0.659649,0.0,0.054168,0.034356,1.3292460000000001,0.3145440000000001,8.389372999999999,0.24449099999999999,8.386343,1.337709,12,12,0.030340999999999996,0.036039,0.0,0.0,0.037627999999999995,0.330948,1.246752,37.0
84,48,516,60,24,12,108.0,48,15552.0,60.0,12.0,1.562516,0.013209,1.318249,0.660502,0.0,0.07212,0.0,0.0,0.3145440000000001,8.458354,0.23157600000000003,8.458354,1.55544,12,12,0.102008,0.012159,0.0,0.0,1.0209030000000001,0.330948,1.246752,120.0
85,60,720,60,24,12,139.0,16,9456.0,60.0,24.0,1.8242509999999998,0.21566199999999996,1.078722,0.6802099999999999,0.0,0.07856999999999999,0.0,0.0,0.3145440000000001,8.54565,0.23157600000000003,8.54565,1.762466,12,12,0.34337999999999996,0.21566199999999996,0.143863,0.0,0.321597,0.330948,1.246752,32.0
86,36,816,60,24,12,124.0,19,1228.0,56.0,22.0,1.6527820000000002,0.402012,1.011414,0.6789990000000001,0.0,0.093033,0.0,0.0,0.3145440000000001,8.473986,0.23157600000000003,8.473986,1.572306,12,12,0.42618999999999996,0.399341,0.10283900000000001,0.022897999999999998,0.72887,0.330977,1.247176,24.0
87,60,720,60,24,12,139.0,12,15348.0,60.0,24.0,1.757833,0.14954399999999998,1.0946700000000003,0.6800250000000001,0.000333,0.073202,0.0,0.0,0.3145440000000001,8.526385999999999,0.23157600000000003,8.526385999999999,1.747697,12,12,0.12345699999999998,0.14954399999999998,0.012592,0.165435,0.27413299999999996,0.330948,1.246752,24.0
88,60,720,60,24,12,87.0,30,2470.0,58.0,25.0,1.478191,0.094235,1.0143650000000002,0.669007,0.0,0.061099,0.0,0.0,0.3145440000000001,8.437152,0.23157600000000003,8.437152,1.466225,12,12,0.128465,0.093398,0.035342,0.035472000000000004,0.448665,0.330948,1.246752,62.0
